date,stop_id
7/18/2025,19-131
7/18/2025,19-132
7/18/2025,19-842
7/19/2025,02136
7/19/2025,02139
7/19/2025,02142
7/19/2025,02143
7/19/2025,02149
7/19/2025,02246
7/19/2025,02253
7/19/2025,02681
7/19/2025,02925
7/28/2025,19-133
8/10/2025,01118
8/10/2025,01126
8/10/2025,01272
8/10/2025,01907
8/10/2025,01911
8/11/2025,01118
8/11/2025,01126
8/11/2025,01272
8/11/2025,01907
8/11/2025,01911
8/12/2025,01118
8/12/2025,01126
8/12/2025,01272
8/12/2025,01907
8/12/2025,01911
8/12/2025,09-225
8/12/2025,09-226
8/12/2025,09-227
8/12/2025,09-238
8/12/2025,09-283
8/12/2025,09-293
8/13/2025,01118
8/13/2025,01126
8/13/2025,01272
8/13/2025,01907
8/13/2025,01911
8/14/2025,01118
8/14/2025,01126
8/14/2025,01272
8/14/2025,01907
8/14/2025,01911
8/14/2025,04157
8/15/2025,01118
8/15/2025,01126
8/15/2025,01272
8/15/2025,01907
8/15/2025,01911
8/15/2025,02126
8/15/2025,02136
8/15/2025,02139
8/15/2025,02142
8/15/2025,02143
8/15/2025,02219
8/15/2025,02253
8/15/2025,02680
8/15/2025,02681
8/15/2025,02925
8/15/2025,23-285
8/15/2025,23-580
8/15/2025,23-641
8/15/2025,32-055
8/16/2025,01118
8/16/2025,01126
8/16/2025,01272
8/16/2025,01907
8/16/2025,01911
